Code	System	Display	Definition
1832-5	http://terminology.hl7.org/CodeSystem/v3-Race	Tenakee Springs	Tenakee Springs
1833-3	http://terminology.hl7.org/CodeSystem/v3-Race	Tlingit	Tlingit
1834-1	http://terminology.hl7.org/CodeSystem/v3-Race	Wrangell	Wrangell
1835-8	http://terminology.hl7.org/CodeSystem/v3-Race	Yakutat	Yakutat
1837-4	http://terminology.hl7.org/CodeSystem/v3-Race	Tsimshian	Tsimshian
1838-2	http://terminology.hl7.org/CodeSystem/v3-Race	Metlakatla	Metlakatla
1840-8	http://terminology.hl7.org/CodeSystem/v3-Race	Eskimo	Eskimo
1842-4	http://terminology.hl7.org/CodeSystem/v3-Race	Greenland Eskimo	Greenland Eskimo
1844-0	http://terminology.hl7.org/CodeSystem/v3-Race	Inupiat Eskimo	Inupiat Eskimo
1845-7	http://terminology.hl7.org/CodeSystem/v3-Race	Ambler	Ambler
1846-5	http://terminology.hl7.org/CodeSystem/v3-Race	Anaktuvuk	Anaktuvuk
1847-3	http://terminology.hl7.org/CodeSystem/v3-Race	Anaktuvuk Pass	Anaktuvuk Pass
1848-1	http://terminology.hl7.org/CodeSystem/v3-Race	Arctic Slope Inupiat	Arctic Slope Inupiat
1849-9	http://terminology.hl7.org/CodeSystem/v3-Race	Arctic Slope Corporation	Arctic Slope Corporation
1850-7	http://terminology.hl7.org/CodeSystem/v3-Race	Atqasuk	Atqasuk
1851-5	http://terminology.hl7.org/CodeSystem/v3-Race	Barrow	Barrow
1852-3	http://terminology.hl7.org/CodeSystem/v3-Race	Bering Straits Inupiat	Bering Straits Inupiat
1853-1	http://terminology.hl7.org/CodeSystem/v3-Race	Brevig Mission	Brevig Mission
1854-9	http://terminology.hl7.org/CodeSystem/v3-Race	Buckland	Buckland
1855-6	http://terminology.hl7.org/CodeSystem/v3-Race	Chinik	Chinik
1856-4	http://terminology.hl7.org/CodeSystem/v3-Race	Council	Council
1857-2	http://terminology.hl7.org/CodeSystem/v3-Race	Deering	Deering
1858-0	http://terminology.hl7.org/CodeSystem/v3-Race	Elim	Elim
1859-8	http://terminology.hl7.org/CodeSystem/v3-Race	Golovin	Golovin
1860-6	http://terminology.hl7.org/CodeSystem/v3-Race	Inalik Diomede	Inalik Diomede
1861-4	http://terminology.hl7.org/CodeSystem/v3-Race	Inupiaq	Inupiaq
1862-2	http://terminology.hl7.org/CodeSystem/v3-Race	Kaktovik	Kaktovik
1863-0	http://terminology.hl7.org/CodeSystem/v3-Race	Kawerak	Kawerak
1864-8	http://terminology.hl7.org/CodeSystem/v3-Race	Kiana	Kiana
1865-5	http://terminology.hl7.org/CodeSystem/v3-Race	Kivalina	Kivalina
1866-3	http://terminology.hl7.org/CodeSystem/v3-Race	Kobuk	Kobuk
1867-1	http://terminology.hl7.org/CodeSystem/v3-Race	Kotzebue	Kotzebue
1868-9	http://terminology.hl7.org/CodeSystem/v3-Race	Koyuk	Koyuk
1869-7	http://terminology.hl7.org/CodeSystem/v3-Race	Kwiguk	Kwiguk
1870-5	http://terminology.hl7.org/CodeSystem/v3-Race	Mauneluk Inupiat	Mauneluk Inupiat
1871-3	http://terminology.hl7.org/CodeSystem/v3-Race	Nana Inupiat	Nana Inupiat
1872-1	http://terminology.hl7.org/CodeSystem/v3-Race	Noatak	Noatak
1873-9	http://terminology.hl7.org/CodeSystem/v3-Race	Nome	Nome
1874-7	http://terminology.hl7.org/CodeSystem/v3-Race	Noorvik	Noorvik
1875-4	http://terminology.hl7.org/CodeSystem/v3-Race	Nuiqsut	Nuiqsut
1876-2	http://terminology.hl7.org/CodeSystem/v3-Race	Point Hope	Point Hope
1877-0	http://terminology.hl7.org/CodeSystem/v3-Race	Point Lay	Point Lay
1878-8	http://terminology.hl7.org/CodeSystem/v3-Race	Selawik	Selawik
1879-6	http://terminology.hl7.org/CodeSystem/v3-Race	Shaktoolik	Shaktoolik
1880-4	http://terminology.hl7.org/CodeSystem/v3-Race	Shishmaref	Shishmaref
1881-2	http://terminology.hl7.org/CodeSystem/v3-Race	Shungnak	Shungnak
1882-0	http://terminology.hl7.org/CodeSystem/v3-Race	Solomon	Solomon
1883-8	http://terminology.hl7.org/CodeSystem/v3-Race	Teller	Teller
1884-6	http://terminology.hl7.org/CodeSystem/v3-Race	Unalakleet	Unalakleet
1885-3	http://terminology.hl7.org/CodeSystem/v3-Race	Wainwright	Wainwright
1886-1	http://terminology.hl7.org/CodeSystem/v3-Race	Wales	Wales
1887-9	http://terminology.hl7.org/CodeSystem/v3-Race	White Mountain	White Mountain
1888-7	http://terminology.hl7.org/CodeSystem/v3-Race	White Mountain Inupiat	White Mountain Inupiat
1889-5	http://terminology.hl7.org/CodeSystem/v3-Race	Mary's Igloo	Mary's Igloo
1891-1	http://terminology.hl7.org/CodeSystem/v3-Race	Siberian Eskimo	Siberian Eskimo
1892-9	http://terminology.hl7.org/CodeSystem/v3-Race	Gambell	Gambell
1893-7	http://terminology.hl7.org/CodeSystem/v3-Race	Savoonga	Savoonga
1894-5	http://terminology.hl7.org/CodeSystem/v3-Race	Siberian Yupik	Siberian Yupik
1896-0	http://terminology.hl7.org/CodeSystem/v3-Race	Yupik Eskimo	Yupik Eskimo
1897-8	http://terminology.hl7.org/CodeSystem/v3-Race	Akiachak	Akiachak
1898-6	http://terminology.hl7.org/CodeSystem/v3-Race	Akiak	Akiak
1899-4	http://terminology.hl7.org/CodeSystem/v3-Race	Alakanuk	Alakanuk
1900-0	http://terminology.hl7.org/CodeSystem/v3-Race	Aleknagik	Aleknagik
1901-8	http://terminology.hl7.org/CodeSystem/v3-Race	Andreafsky	Andreafsky
1902-6	http://terminology.hl7.org/CodeSystem/v3-Race	Aniak	Aniak
1903-4	http://terminology.hl7.org/CodeSystem/v3-Race	Atmautluak	Atmautluak
1904-2	http://terminology.hl7.org/CodeSystem/v3-Race	Bethel	Bethel
1905-9	http://terminology.hl7.org/CodeSystem/v3-Race	Bill Moore's Slough	Bill Moore's Slough
1906-7	http://terminology.hl7.org/CodeSystem/v3-Race	Bristol Bay Yupik	Bristol Bay Yupik
1907-5	http://terminology.hl7.org/CodeSystem/v3-Race	Calista Yupik	Calista Yupik
1908-3	http://terminology.hl7.org/CodeSystem/v3-Race	Chefornak	Chefornak
1909-1	http://terminology.hl7.org/CodeSystem/v3-Race	Chevak	Chevak
1910-9	http://terminology.hl7.org/CodeSystem/v3-Race	Chuathbaluk	Chuathbaluk
1911-7	http://terminology.hl7.org/CodeSystem/v3-Race	Clark's Point	Clark's Point
1912-5	http://terminology.hl7.org/CodeSystem/v3-Race	Crooked Creek	Crooked Creek
1913-3	http://terminology.hl7.org/CodeSystem/v3-Race	Dillingham	Dillingham
1914-1	http://terminology.hl7.org/CodeSystem/v3-Race	Eek	Eek
1915-8	http://terminology.hl7.org/CodeSystem/v3-Race	Ekuk	Ekuk
1916-6	http://terminology.hl7.org/CodeSystem/v3-Race	Ekwok	Ekwok
1917-4	http://terminology.hl7.org/CodeSystem/v3-Race	Emmonak	Emmonak
1918-2	http://terminology.hl7.org/CodeSystem/v3-Race	Goodnews Bay	Goodnews Bay
1919-0	http://terminology.hl7.org/CodeSystem/v3-Race	Hooper Bay	Hooper Bay
1920-8	http://terminology.hl7.org/CodeSystem/v3-Race	Iqurmuit (Russian Mission)	Iqurmuit (Russian Mission)
1921-6	http://terminology.hl7.org/CodeSystem/v3-Race	Kalskag	Kalskag
1922-4	http://terminology.hl7.org/CodeSystem/v3-Race	Kasigluk	Kasigluk
1923-2	http://terminology.hl7.org/CodeSystem/v3-Race	Kipnuk	Kipnuk
1924-0	http://terminology.hl7.org/CodeSystem/v3-Race	Koliganek	Koliganek
1925-7	http://terminology.hl7.org/CodeSystem/v3-Race	Kongiganak	Kongiganak
1926-5	http://terminology.hl7.org/CodeSystem/v3-Race	Kotlik	Kotlik
1927-3	http://terminology.hl7.org/CodeSystem/v3-Race	Kwethluk	Kwethluk
1928-1	http://terminology.hl7.org/CodeSystem/v3-Race	Kwigillingok	Kwigillingok
1929-9	http://terminology.hl7.org/CodeSystem/v3-Race	Levelock	Levelock
1930-7	http://terminology.hl7.org/CodeSystem/v3-Race	Lower Kalskag	Lower Kalskag
1931-5	http://terminology.hl7.org/CodeSystem/v3-Race	Manokotak	Manokotak
1932-3	http://terminology.hl7.org/CodeSystem/v3-Race	Marshall	Marshall
1933-1	http://terminology.hl7.org/CodeSystem/v3-Race	Mekoryuk	Mekoryuk
1934-9	http://terminology.hl7.org/CodeSystem/v3-Race	Mountain Village	Mountain Village
1935-6	http://terminology.hl7.org/CodeSystem/v3-Race	Naknek	Naknek
1936-4	http://terminology.hl7.org/CodeSystem/v3-Race	Napaumute	Napaumute
1937-2	http://terminology.hl7.org/CodeSystem/v3-Race	Napakiak	Napakiak
1938-0	http://terminology.hl7.org/CodeSystem/v3-Race	Napaskiak	Napaskiak
1939-8	http://terminology.hl7.org/CodeSystem/v3-Race	Newhalen	Newhalen
1940-6	http://terminology.hl7.org/CodeSystem/v3-Race	New Stuyahok	New Stuyahok
1941-4	http://terminology.hl7.org/CodeSystem/v3-Race	Newtok	Newtok
1942-2	http://terminology.hl7.org/CodeSystem/v3-Race	Nightmute	Nightmute
1943-0	http://terminology.hl7.org/CodeSystem/v3-Race	Nunapitchukv	Nunapitchukv
1944-8	http://terminology.hl7.org/CodeSystem/v3-Race	Oscarville	Oscarville
1945-5	http://terminology.hl7.org/CodeSystem/v3-Race	Pilot Station	Pilot Station
1946-3	http://terminology.hl7.org/CodeSystem/v3-Race	Pitkas Point	Pitkas Point
1947-1	http://terminology.hl7.org/CodeSystem/v3-Race	Platinum	Platinum
1948-9	http://terminology.hl7.org/CodeSystem/v3-Race	Portage Creek	Portage Creek
1949-7	http://terminology.hl7.org/CodeSystem/v3-Race	Quinhagak	Quinhagak
1950-5	http://terminology.hl7.org/CodeSystem/v3-Race	Red Devil	Red Devil
1951-3	http://terminology.hl7.org/CodeSystem/v3-Race	St. Michael	St. Michael
1952-1	http://terminology.hl7.org/CodeSystem/v3-Race	Scammon Bay	Scammon Bay
1953-9	http://terminology.hl7.org/CodeSystem/v3-Race	Sheldon's Point	Sheldon's Point
1954-7	http://terminology.hl7.org/CodeSystem/v3-Race	Sleetmute	Sleetmute
1955-4	http://terminology.hl7.org/CodeSystem/v3-Race	Stebbins	Stebbins
1956-2	http://terminology.hl7.org/CodeSystem/v3-Race	Togiak	Togiak
1957-0	http://terminology.hl7.org/CodeSystem/v3-Race	Toksook	Toksook
1958-8	http://terminology.hl7.org/CodeSystem/v3-Race	Tulukskak	Tulukskak
1959-6	http://terminology.hl7.org/CodeSystem/v3-Race	Tuntutuliak	Tuntutuliak
1960-4	http://terminology.hl7.org/CodeSystem/v3-Race	Tununak	Tununak
1961-2	http://terminology.hl7.org/CodeSystem/v3-Race	Twin Hills	Twin Hills
1962-0	http://terminology.hl7.org/CodeSystem/v3-Race	Georgetown	Georgetown
1963-8	http://terminology.hl7.org/CodeSystem/v3-Race	St. Mary's	St. Mary's
1964-6	http://terminology.hl7.org/CodeSystem/v3-Race	Umkumiate	Umkumiate
1966-1	http://terminology.hl7.org/CodeSystem/v3-Race	Aleut	Aleut
1968-7	http://terminology.hl7.org/CodeSystem/v3-Race	Alutiiq Aleut	Alutiiq Aleut
1969-5	http://terminology.hl7.org/CodeSystem/v3-Race	Tatitlek	Tatitlek
1970-3	http://terminology.hl7.org/CodeSystem/v3-Race	Ugashik	Ugashik
1972-9	http://terminology.hl7.org/CodeSystem/v3-Race	Bristol Bay Aleut	Bristol Bay Aleut
1973-7	http://terminology.hl7.org/CodeSystem/v3-Race	Chignik	Chignik
1974-5	http://terminology.hl7.org/CodeSystem/v3-Race	Chignik Lake	Chignik Lake
1975-2	http://terminology.hl7.org/CodeSystem/v3-Race	Egegik	Egegik
1976-0	http://terminology.hl7.org/CodeSystem/v3-Race	Igiugig	Igiugig
1977-8	http://terminology.hl7.org/CodeSystem/v3-Race	Ivanof Bay	Ivanof Bay
1978-6	http://terminology.hl7.org/CodeSystem/v3-Race	King Salmon	King Salmon
1979-4	http://terminology.hl7.org/CodeSystem/v3-Race	Kokhanok	Kokhanok
1980-2	http://terminology.hl7.org/CodeSystem/v3-Race	Perryville	Perryville
1981-0	http://terminology.hl7.org/CodeSystem/v3-Race	Pilot Point	Pilot Point
